DATE,DATE_CODE,HH,mm,BOSS_NM1,BOSS_NM2,APPEAR,DB_CODE1,DB_CODE2,TIME
토요일,5,15,45,카란다,크자카,0,BS_KRD_15,BS_KZK_15,15
토요일,5,15,50,카란다,크자카,0,BS_KRD_10,BS_KZK_10,10
토요일,5,15,55,카란다,크자카,0,BS_KRD_5,BS_KZK_5,5
토요일,5,16,0,카란다,크자카,1,BS_KRD_0,BS_KZK_0,0
토요일,5,16,45,검은그림자,.,0,BS_DS_15,,15
토요일,5,16,50,검은그림자,.,0,BS_DS_10,,10
토요일,5,16,55,검은그림자,.,0,BS_DS_5,,5
토요일,5,17,0,검은그림자,.,1,BS_DS_0,.,0
토요일,5,18,45,귄트/무라카,.,0,BS_ORC_15,.,15
토요일,5,18,50,귄트/무라카,.,0,BS_ORC_10,.,10
토요일,5,18,55,귄트/무라카,.,0,BS_ORC_5,.,5
토요일,5,19,0,귄트/무라카,.,1,BS_ORC_0,.,0
일요일,6,0,0,가모스,.,0,BS_GMT_15,.,15
일요일,6,0,5,가모스,.,0,BS_GMT_10,.,10
일요일,6,0,10,가모스,.,0,BS_GMT_5,.,5
일요일,6,0,15,가모스,.,1,BS_GMT_0,.,0
일요일,6,1,45,카란다,쿠툼,0,BS_KRD_15,BS_KT_15,15
일요일,6,1,50,카란다,쿠툼,0,BS_KRD_10,BS_KT_10,10
일요일,6,1,55,카란다,쿠툼,0,BS_KRD_5,BS_KT_5,5
일요일,6,2,0,카란다,쿠툼,1,BS_KRD_0,BS_KT_0,0
일요일,6,10,45,크자카,누베르,0,BS_KZK_15,BS_NBR_15,15
일요일,6,10,50,크자카,누베르,0,BS_KZK_10,BS_NBR_10,10
일요일,6,10,55,크자카,누베르,0,BS_KZK_5,BS_NBR_5,5
일요일,6,11,0,크자카,누베르,1,BS_KZK_0,BS_NBR_0,0
일요일,6,13,45,가모스,.,0,BS_GMT_15,.,15
일요일,6,13,50,가모스,.,0,BS_GMT_10,.,10
일요일,6,13,55,가모스,.,0,BS_GMT_5,.,5
일요일,6,14,0,가모스,.,1,BS_GMT_0,.,0
일요일,6,15,45,카란다,쿠툼,0,BS_KRD_15,BS_KT_15,15
일요일,6,15,50,카란다,쿠툼,0,BS_KRD_10,BS_KT_10,10
일요일,6,15,55,카란다,쿠툼,0,BS_KRD_5,BS_KT_5,5
일요일,6,16,0,카란다,쿠툼,1,BS_KRD_0,BS_KT_0,0
일요일,6,16,45,벨,.,0,BS_BLL_15,.,15
일요일,6,16,50,벨,.,0,BS_BLL_10,.,10
일요일,6,16,55,벨,.,0,BS_BLL_5,.,5
일요일,6,17,0,벨,.,1,BS_BLL_0,.,0
일요일,6,19,45,누베르,쿠툼,0,BS_NBR_15,BS_KT_15,15
일요일,6,19,50,누베르,쿠툼,0,BS_NBR_10,BS_KT_10,10
일요일,6,19,55,누베르,쿠툼,0,BS_NBR_5,BS_KT_5,5
일요일,6,20,0,누베르,쿠툼,1,BS_NBR_0,BS_KT_0,0
일요일,6,23,0,가모스,.,0,BS_GMT_15,.,15
일요일,6,23,5,가모스,.,0,BS_GMT_10,.,10
일요일,6,23,10,가모스,.,0,BS_GMT_5,.,5
일요일,6,23,15,가모스,.,1,BS_GMT_0,.,0
일요일,6,23,30,카란다,.,0,BS_KRD_15,.,15
일요일,6,23,35,카란다,.,0,BS_KRD_10,.,10
일요일,6,23,40,카란다,.,0,BS_KRD_5,.,5
일요일,6,23,45,카란다,.,1,BS_KRD_0,.,0
